A1	KC	A2	TC
261	2	189	2
262	2	330	2
263	1	189	2
264	2	242	2
265	2	308	2
266	2	417	2
267	2	281	2
268	2	265	2
269	2	159	2
270	2	250	2
271	2	450	2
272	1	382	3
273	3	185	3
274	2	231	3
275	3	353	3
276	3	124	3
277	3	428	3
278	3	358	3
279	3	275	3
280	1	194	3
281	3	199	3
282	3	417	3
283	3	112	3
284	3	202	3
285	2	201	3
286	3	370	3
287	1	379	3
288	3	370	3
289	2	377	3
290	3	132	3
291	3	337	3
292	2	147	3
293	1	416	3
294	3	134	3
295	3	202	3
296	2	359	3
297	4	227	4
298	4	124	4
299	4	162	4
300	4	336	4
301	4	215	4
302	4	431	4
303	4	310	4
304	4	230	4
305	4	259	4
306	4	222	4
307	4	448	4
308	4	336	4
309	4	400	4
310	4	173	4
311	4	229	4
312	4	273	4
313	1	441	4
314	2	336	4
315	4	267	4
316	4	367	4
317	4	421	4
318	3	357	4
319	4	261	4
320	3	379	4
321	3	124	4
322	4	159	4
323	4	206	4
324	1	260	4
325	4	376	4
326	2	350	4
327	2	132	4
328	1	426	1
329	1	172	1
330	1	245	1
331	1	122	1
332	1	163	1
333	1	146	1
334	1	235	1
335	2	416	2
336	1	327	2
337	2	184	2
338	2	335	2
339	1	276	4
340	4	431	4
341	2	282	4
342	2	271	4
343	1	422	1
344	1	282	1
345	1	376	1
346	1	138	1
347	1	237	1
348	1	406	1
349	1	148	1
350	2	114	2
351	1	130	2
352	2	252	2
353	2	300	2
354	3	326	3
355	1	415	3
356	3	414	3
357	3	205	3
358	3	335	3
359	3	143	3
360	2	289	3
361	3	239	3
362	1	245	3
363	3	315	3
364	2	339	3
365	3	164	3
366	3	398	3
367	2	440	3
368	1	328	3
369	1	443	3
370	2	127	3
